"","...1","YEAR","MULTYEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STATEFIP","COUNTYFIP","PUMA","STRATA","GQ","PERNUM","PERWT","SEX","AGE","RACE","RACED","HISPAN","HISPAND","BPL","BPLD","LANGUAGE","LANGUAGED","SPEAKENG","TRIBE","TRIBED","RACNUM","EMPSTAT","EMPSTATD","LABFORCE","UHRSWORK","INCTOT","FTOTINC","INCSS","INCWELFR","POVERTY"
"1",347105,2019,2019,201903,4518593,2019001208981,14,2019045185933,36,61,3804,380436,1,1,14,1,58,2,200,0,0,36,3600,1,100,3,0,0,1,3,30,1,0,7700,7700,7700,0,94
"2",353241,2019,2019,201903,4525674,2019001342447,24,2019045256743,36,61,3801,380136,1,2,44,1,30,7,700,4,460,260,26010,12,1200,4,0,0,1,1,10,2,43,56000,84960,0,0,319
"3",69939,2019,2015,201903,4183011,2015001465744,13,2019041830113,36,81,4103,410336,1,2,12,2,51,1,100,0,0,455,45500,1,100,3,0,0,1,1,10,2,40,28057,84170,0,0,314
"4",314605,2019,2019,201903,4481838,2019000531574,12,2019044818383,36,5,3707,370736,1,1,13,1,64,1,100,4,460,260,26010,1,100,3,0,0,1,3,30,1,0,78200,78200,26200,0,501
"5",403,2019,2015,201903,4100979,2015000007003,38,2019041009793,36,81,4104,410436,1,8,46,1,8,8,826,4,420,36,3600,12,1200,4,0,0,2,0,0,0,0,9999999,256719,99999,99999,458
"6",158127,2019,2017,201903,4286076,2017000284609,17,2019042860763,36,47,4011,401136,1,2,22,1,33,2,200,0,0,36,3600,1,100,3,0,0,1,1,10,2,30,15644,324979,0,0,501
"7",41455,2019,2015,201903,4149699,2015000873242,13,2019041496993,36,81,4108,410836,1,3,18,1,60,6,665,0,0,521,52130,45,4500,6,0,0,1,1,10,2,40,49639,124637,0,0,392
"8",161846,2019,2017,201903,4290192,2017000361036,13,2019042901923,36,81,4109,410936,1,4,20,1,62,4,400,0,0,500,50000,43,4302,1,0,0,1,3,30,1,0,521,173023,0,521,501
"9",196229,2019,2017,201903,4328066,2017001064396,9,2019043280663,36,47,4016,401636,1,1,9,2,68,1,100,0,0,465,46500,18,1800,4,0,0,1,1,10,2,48,66226,66226,13767,0,501
"10",340999,2019,2019,201903,4511743,2019001084076,22,2019045117433,36,61,3805,380536,1,2,22,2,31,1,100,0,0,36,3600,1,100,3,0,0,1,1,10,2,40,80000,150100,0,0,501
"11",63540,2019,2015,201903,4175581,2015001335061,16,2019041755813,36,47,4011,401136,1,5,17,1,4,2,200,0,0,36,3600,0,0,0,0,0,1,0,0,0,0,9999999,94422,99999,99999,262
"12",281014,2019,2018,201903,4436516,2018001301898,13,2019044365163,36,61,3808,380836,1,2,19,1,25,1,100,0,0,9,900,1,100,3,0,0,1,1,10,2,50,132355,132355,0,0,501
"13",206523,2019,2017,201903,4339578,2017001278107,14,2019043395783,36,81,4105,410536,1,3,18,2,55,2,200,0,0,36,3600,1,100,3,0,0,1,1,10,2,35,40049,123484,0,0,501
"14",144198,2019,2017,201903,4271124,2017000009990,16,2019042711243,36,47,4017,401736,1,4,31,2,4,4,400,0,0,36,3600,0,0,0,0,0,1,0,0,0,0,9999999,164888,99999,99999,501
"15",56281,2019,2015,201903,4167250,2015001186596,22,2019041672503,36,81,4111,411136,1,5,38,2,37,6,610,0,0,521,52110,31,3112,5,0,0,1,3,30,1,20,2482,20395,0,0,65
"16",55656,2019,2015,201903,4166503,2015001173123,25,2019041665033,36,85,3901,390136,1,3,27,1,66,1,100,4,498,36,3600,1,100,3,0,0,1,3,30,1,0,42085,75214,42085,0,376
"17",145996,2019,2017,201903,4272931,2017000043651,27,2019042729313,36,81,4104,410436,1,2,26,1,58,4,400,0,0,500,50040,43,4303,5,0,0,1,1,10,2,40,93864,132453,0,0,501
"18",104260,2019,2016,201903,4223871,2016000687864,15,2019042238713,36,47,4014,401436,1,2,14,2,47,1,100,0,0,36,3600,1,100,3,0,0,1,1,10,2,12,11719,171524,0,0,501
"19",63661,2019,2015,201903,4175741,2015001338144,9,2019041757413,36,81,4113,411336,1,1,10,2,45,2,200,0,0,300,30040,1,100,3,0,0,1,1,10,2,40,77696,238482,0,0,501
"20",156807,2019,2017,201903,4284631,2017000257690,32,2019042846313,36,81,4102,410236,1,1,32,2,88,7,700,2,200,110,11000,1,100,3,0,0,1,3,30,1,0,83435,83435,52147,0,501
"21",53108,2019,2015,201903,4163659,2015001121812,14,2019041636593,36,81,4102,410236,1,4,13,2,6,7,700,4,424,36,3600,12,1200,5,0,0,1,0,0,0,0,9999999,65933,99999,99999,117
"22",82698,2019,2016,201903,4198285,2016000226368,33,2019041982853,36,81,4106,410636,1,3,38,2,0,6,664,0,0,36,3600,0,0,0,0,0,1,0,0,0,0,9999999,34092,99999,99999,167
"23",93552,2019,2016,201903,4211242,2016000463393,8,2019042112423,36,47,4009,400936,1,1,8,2,43,2,200,0,0,36,3600,2,200,4,0,0,1,1,10,2,35,94817,148938,0,0,501
"24",224798,2019,2018,201903,4374440,2018000148381,12,2019043744403,36,85,3902,390236,1,3,11,2,84,1,100,0,0,455,45500,21,2100,1,0,0,1,3,30,1,0,2036,93667,0,2036,364
"25",316197,2019,2019,201903,4483547,2019000563153,16,2019044835473,36,81,4102,410236,1,4,16,2,42,7,700,4,424,300,30030,12,1200,6,0,0,1,1,10,2,35,23000,89000,0,0,221
"26",78555,2019,2016,201903,4193406,2016000138494,11,2019041934063,36,5,3702,370236,1,3,12,2,41,2,200,0,0,260,26030,1,100,3,0,0,1,1,10,2,40,53268,227349,0,0,501
"27",47277,2019,2015,201903,4156622,2015000995977,26,2019041566223,36,85,3901,390136,1,3,22,2,14,1,100,0,0,36,3600,1,100,3,0,0,1,0,0,0,0,9999999,140823,99999,99999,384
